フォルダ名,ファイル名,車名,通称名,型式,燃費値（km/L）,燃料種別
令和2年3月,001337992_10・15_ガソリン乗用車.xls,Lexus,ＲＸ４５０ｈ,DAA-GYL10W,19.4,ガソリン
令和2年3月,001337992_10・15_ガソリン乗用車.xls,Lexus,ＲＸ４５０ｈ,DAA-GYL15W,18.8,ガソリン
令和2年3月,001337992_10・15_ガソリン乗用車.xls,Lexus,ＲＸ４５０ｈ,DAA-GYL16W,18.8,ガソリン
令和2年3月,001337992_10・15_ガソリン乗用車.xls,Lexus,ＲＸ２７０,DBA-AGL10W,10.4,ガソリン
令和2年3月,001337992_10・15_ガソリン乗用車.xls,Lexus,ＲＸ３５０,DBA-GGL10W,9.7,ガソリン
令和2年3月,001337992_10・15_ガソリン乗用車.xls,Lexus,ＲＸ３５０,DBA-GGL15W,9.4,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,A1/ A1 Spetback 1.4 TFSI,DBA-8XCAX,19.4,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,A3 Sportback 1.4 TFSI (S-tronic),DBA-8PCAX,18.4,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,A3 Sportback 2.0 TFSI quattro (S-tronic),ABA-8PCCZF,12.2,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,S3 (S-tronic),ABA-8PCDLF,10.4,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,TT Coupé 1.8TFSI (S-tronic),ABA-8JCDA,14.6,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,TT Coupé 2.0 TFSI quattro TT Roadster (S-tronic),ABA-8JCESF,13.0,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,TTS Coupé (S-tronic),ABA-8JCDLF,10.8,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,TTRS Coupé (S-tronic),ABA-8JCEPF,10.4,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,Q3 2.0 TFSI quattro (S-tronic),ABA-8UCPSF,13.8,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,A4 2.0 TFSI A4 Avant 2.0 TFSI,DBA-8KCDN,14.8,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,A4 2.0 TFSI quattro A4 Avant 2.0 TFSI quattro (S-tronic),DBA-8KCDNF,14.4,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,S4 S4 Avant (S-tronic),ABA-8KCGWF,10.6,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,A4 allroad quattro (S-tronic),ABA-8KCDNA,10.4,ガソリン
令和2年3月,001337995_10・15_ガソリン乗用車（普通・小型）.xls,ｱｳﾃﾞｨ,A5 2.0 TFSI quattro (S-tronic),DBA-8TCDNF,14.4,ガソリン
