フォルダ名,ファイル名,車名,通称名,型式,燃費値（km/L）,燃料種別
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,クロスビー,DAA-MN71S,22.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,クロスビー,DAA-MN71S,20.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,イグニス,DAA-FF21S,28.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,イグニス,DAA-FF21S,28.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,イグニス,DAA-FF21S,25.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,DAA-ZC43S,32.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,DAA-ZC53S,27.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,DAA-ZD53S,25.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,DBA-ZC83S,23.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,DBA-ZC83S,22.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,DBA-ZC83S,24.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,DBA-ZD83S,22.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,DBA-ZC13S,20.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,CBA-ZC33S,16.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,スイフト,CBA-ZC33S,16.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ソリオ,DAA-MA46S,32.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ソリオ,DAA-MA36S,27.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ソリオ,DAA-MA36S,23.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ソリオ,DBA-MA26S,24.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ソリオ,DBA-MA26S,22.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ソリオ,DBA-MA26S,21.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ランディ,DAA-SGC27,17.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ランディ,DAA-SGC27,16.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ランディ,DAA-SGNC27,15.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ランディ,DAA-SGNC27,15.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ランディ,DBA-SC27,15.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スズキ,ランディ,DBA-SC27,14.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,DBA-ZC6,11.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,DBA-ZC6,12.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,DBA-ZC6,12.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,DBA-ZC6,11.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,DBA-ZC6,11.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,WRX,DBA-VAG,13.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,WRX,DBA-VAG,12.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,WRX,CBA-VAB,9.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,XV,DBA-GT3,16.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,XV,DBA-GT3,15.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,XV,DBA-GT7,16.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,XV,DBA-GT7,16.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,XV,5AA-GTE,19.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,XV,5AA-GTE,19.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GK2,18.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GT2,18.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GK3,17.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GT3,17.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GK6,17.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GK6,16.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GT6,17.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GT6,16.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GK7,16.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GK7,15.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GT7,16.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,インプレッサ,DBA-GT7,15.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,エクシーガ,DBA-YAM,13.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,ジャスティ,DBA-M900F,24.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,ジャスティ,DBA-M900F,21.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,ジャスティ,DBA-M910F,22.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,DBA-SJ5,16.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,DBA-SJ5,13.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,DBA-SJG,13.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,5BA-SK9,14.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,5BA-SK9,14.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,5AA-SKE,18.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,5AA-SKE,18.6,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,レヴォーグ,DBA-VM4,16.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,レヴォーグ,DBA-VMG,13.2,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,レガシィ,DBA-BN9,14.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,スバル,レガシィ,DBA-BS9,14.8,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,ダイハツ,ﾌﾞｰﾝ,DBA-M700S,28.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,ダイハツ,ﾌﾞｰﾝ,DBA-M710S,24.4,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,ダイハツ,ﾌﾞｰﾝ,5BA-M700S,28.0,ガソリン
令和2年3月,001337993_JC08_ガソリン乗用車（普通・小型）.xls,ダイハツ,ﾌﾞｰﾝ,5BA-M710S,24.4,ガソリン
