フォルダ名,ファイル名,車名,通称名,型式,燃費値（km/L）,燃料種別
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野リエッセＩＩ,2KG-GDB60M,8.52,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野リエッセＩＩ,2KG-GDB70M,8.52,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野リエッセＩＩ,2KG-GDB80M,8.52,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,レインボー,2KG-KR290J5,5.61,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野 ポンチョ,2DG-HX9JHCE,5.91,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野 ポンチョ,2DG-HX9JLCE,5.91,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野 ポンチョ,2DG-HX9JLCE,4.66,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野 メルファ,2DG-RR2AJDA,5.34,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野 メルファ,2DG-RR2AJDA,5.18,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野セレガ,2PG-RU1ASDA,4.61,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野セレガ,2PG-RU1ASDA,4.47,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野セレガ,2PG-RU1ASDA,4.49,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野セレガ,2PG-RU1ASDA,4.36,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野セレガ,2DG-RU2AHDA,5.66,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野セレガ,2DG-RU2AHDA,4.88,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,ブルーリボン,2KG-KV290N4,5.45,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,ブルーリボン,2KG-KV290N4,5.35,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,ブルーリボン,2KG-KV290Q4,5.45,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,ブルーリボン,2KG-KV290Q4,5.35,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,ブルーリボン,2TG-KV290N4,4.9,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,ブルーリボン,2TG-KV290Q4,4.9,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,ブルーリボン,2RG-KV290N4,4.81,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,ブルーリボン,2RG-KV290Q4,4.81,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野ブルーリボン,2SG-HL2ANBP,5.38,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,日野,日野ブルーリボン,2SG-HL2ASBP,5.38,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガミオ,2KG-LR290J5,5.61,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2KG-LV290N4,5.45,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2KG-LV290N4,5.35,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2KG-LV290Q4,5.45,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2KG-LV290Q4,5.35,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2SG-HL2ANBD,5.38,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2SG-HL2ASBD,5.38,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2TG-LV290N4,4.9,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2TG-LV290Q4,4.9,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2RG-LV290N4,4.81,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,エルガ,2RG-LV290Q4,4.81,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,ガーラ,2PG-RU1ASDJ,4.61,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,ガーラ,2PG-RU1ASDJ,4.49,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,いすゞ,ガーラ,2PG-RU1ASDJ,4.47,ディーゼル
