フォルダ名,ファイル名,車名,通称名,型式,燃費値（km/L）,燃料種別
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スズキ,ジムニー,3BA-JB74W,15.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スズキ,ジムニー,3BA-JB74W,13.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,5BA-SK9,13.2,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,5BA-SK9,13.2,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,5AA-SKE,14.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,フォレスター,5AA-SKE,14.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,XV,5AA-GTE,15.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,XV,5AA-GTE,15.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,4BA-ZC6,12.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,4BA-ZC6,12.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,4BA-ZC6,11.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,4BA-ZC6,12.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,スバル,BRZ,4BA-ZC6,11.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,ダイハツ,ﾌﾞｰﾝ,5BA-M700S,21.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,ダイハツ,ﾌﾞｰﾝ,5BA-M710S,19.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,ダイハツ,ロッキー,5BA-A200S,18.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,ダイハツ,ロッキー,5BA-A200S,18.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,ダイハツ,ロッキー,5BA-A210S,17.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,ダイハツ,ロッキー,5BA-A210S,17.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ スポーツ,6AA-ZWE211H,30.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ スポーツ,6AA-ZWE211H,25.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ スポーツ,3BA-NRE210H,16.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ スポーツ,3BA-NRE210H,16.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ スポーツ,3BA-NRE210H,15.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ スポーツ,3BA-NRE210H,15.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ スポーツ,3BA-NRE214H,15.2,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ,6AA-ZWE211,29.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ,6AA-ZWE211,25.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ,6AA-ZWE214,26.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ,6AA-ZWE214,24.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ,3BA-NRE210,15.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ,3BA-ZRE212,14.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ,3BA-ZRE212,14.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ ツーリング,6AA-ZWE211W,29.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ ツーリング,6AA-ZWE211W,25.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ ツーリング,6AA-ZWE214W,26.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ ツーリング,6AA-ZWE214W,26.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ ツーリング,6AA-ZWE214W,24.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ ツーリング,3BA-NRE210W,15.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ ツーリング,3BA-ZRE212W,14.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カローラ ツーリング,3BA-ZRE212W,14.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,Ｃ－ＨＲ,6AA-ZYX11,25.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,Ｃ－ＨＲ,6AA-ZYX11,25.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,Ｃ－ＨＲ,3BA-NGX10,15.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,シエンタ,6AA-NHP170G,22.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カムリ,6AA-AXVH75,21.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,カムリ,6AA-AXVH75,21.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,ＲＡＶ４,6AA-AXAH52,21.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,ＲＡＶ４,6AA-AXAH54,20.6,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,ＲＡＶ４,6BA-MXAA52,15.8,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,ＲＡＶ４,6BA-MXAA54,15.2,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,パッソ,5BA-M700A,21.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,パッソ,5BA-M710A,19.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,6AA-AZSH20,20.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,6AA-AZSH20,20.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,6AA-AZSH21,18.2,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,6AA-AZSH21,18.2,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,6AA-GWS224,16.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,6AA-GWS224,16.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,3BA-ARS220,12.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,3BA-GRS210,11.0,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,3BA-GRS214,10.4,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,クラウン,3BA-GRS211,10.2,ガソリン
令和2年3月,001337994_WLTC_ガソリン乗用車（普通・小型）.xls,トヨタ,ポルテ スペイド,5BA-NSP141,19.0,ガソリン
